기관인증,훈련기관명,주소요약,훈련과정명,훈련시작일자,훈련종료일자,훈련비,자비부담금,링크,NCS 직무분류_이름,NCS 직무분류_코드,온라인 여부
훈련기관 1년 인증,주식회사스마트동스쿨,서울 마포구,인공지능 레시피,20240311,20240410,87780,59720,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000936051&tracseTme=143&crseTracseSe=C0031&trainstCstmrId=500020049047#undefined,인공지능플랫폼구축,20010701,온라인
훈련기관 3년 인증,러닝플러스 주식회사,부산 부산진구,온택트시대의 스마트한 일잘러되기,20240311,20240410,47520,26140,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000951267&tracseTme=56&crseTracseSe=C0031&trainstCstmrId=500020021711#undefined,IT프로젝트관리,20010401,온라인
훈련기관 3년 인증,윈스펙원격평생교육원,서울 강남구,"해킹과 침투의 시대, 보안을 배우다",20240313,20240411,92070,32230,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000919338&tracseTme=293&crseTracseSe=C0031&trainstCstmrId=500034225481#undefined,정보보호관리·운영,20010601,온라인
훈련기관 3년 인증,윈스펙원격평생교육원,서울 강남구,파이썬을 이용한 자동화 스크립트,20240313,20240411,77220,34750,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000943610&tracseTme=177&crseTracseSe=C0031&trainstCstmrId=500034225481#undefined,응용SW엔지니어링,20010202,온라인
훈련기관 3년 인증,러닝플러스 주식회사,부산 부산진구,사물인터넷과 산업의 변화,20240311,20240410,62370,21830,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000937641&tracseTme=139&crseTracseSe=C0031&trainstCstmrId=500020021711#undefined,IoT융합서비스기획,20010106,온라인
훈련기관 3년 인증,윈스펙원격평생교육원,서울 강남구,비전공자도 쉽게 배우는 웹개발 종합반,20240313,20240411,65340,29410,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000943662&tracseTme=177&crseTracseSe=C0031&trainstCstmrId=500034225481#undefined,응용SW엔지니어링,20010202,온라인
우수훈련기관 5년 인증,에듀퓨어,경기 고양시 일산동구,디지털융합시대를 향한 필수 선택! UPGRADE-BLOCKCHAIN,20240313,20240411,87780,48280,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000921188&tracseTme=294&crseTracseSe=C0031&trainstCstmrId=500020034527#undefined,블록체인구축·운영,20010802,온라인
훈련기관 3년 인증,러닝플러스 주식회사,부산 부산진구,R을 활용한 빅데이터 및 통계분석,20240311,20240410,104500,36580,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000923973&tracseTme=150&crseTracseSe=C0031&trainstCstmrId=500020021711#undefined,빅데이터분석,20010105,온라인
훈련기관 3년 인증,러닝플러스 주식회사,부산 부산진구,랜섬웨어 예방 및 사이버 보안의 첫 걸음-전사원을 교육하라!,20240311,20240410,50490,17680,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000937566&tracseTme=137&crseTracseSe=C0031&trainstCstmrId=500020021711#undefined,정보보호관리·운영,20010601,온라인
우수훈련기관 5년 인증,에듀퓨어,경기 고양시 일산동구,"디지털 트랜스포메이션의 핵심 인공지능, 쉽게 이해하기",20240313,20240411,190960,105030,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000928444&tracseTme=247&crseTracseSe=C0031&trainstCstmrId=500020034527#undefined,인공지능서비스기획,20010702,온라인
훈련기관 3년 인증,러닝플러스 주식회사,부산 부산진구,Git & Github 실무 활용,20240311,20240410,62370,28070,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000914597&tracseTme=214&crseTracseSe=C0031&trainstCstmrId=500020021711#undefined,SW아키텍처,20010201,온라인
훈련기관 3년 인증,러닝팩토리 원격평생교육원,서울 서초구,4차산업혁명 요소기술과 디지털 트랜스포메이션,20240313,20240412,62370,21830,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000922986&tracseTme=123&crseTracseSe=C0031&trainstCstmrId=500020035790#undefined,정보기술전략,20010101,온라인
훈련기관 3년 인증,러닝플러스 주식회사,부산 부산진구,완판을 부르는 라이브커머스 성공전략,20240311,20240410,100980,55540,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20243000977363&tracseTme=26&crseTracseSe=C0031&trainstCstmrId=500020021711#undefined,소셜미디어방송서비스,20030306,온라인
훈련기관 3년 인증,케이스원격평생교육원 ,서울 구로구,"디지털 트랜스포메이션의 핵심 인공지능, 쉽게 이해하기",20240311,20240409,129580,71270,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000905395&tracseTme=229&crseTracseSe=C0031&trainstCstmrId=500020050628#undefined,인공지능서비스기획,20010702,온라인
훈련기관 3년 인증,러닝플러스 주식회사,부산 부산진구,고객의 마음을 움직이는 제안전략,20240311,20240410,92070,50640,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20243000986099&tracseTme=6&crseTracseSe=C0031&trainstCstmrId=500020021711#undefined,IT기술영업,20010501,온라인
