NCS 기준,워크넷 기준(직업정보 찾기),직업설명(하는일),자격증
경영·진단 전문가,경영·진단전문가,"기업이나 조직의 경영과 관련된 현황과 문제점을 진단하기 위해 조직 기능이나 인사관리, 조직원 인식 등을 조사, 분석하고, 개선점을 제안하며, 개선 사항을 실행하기 위한 방안을 고안하고 자문 등을 한다.","가맹거래사(국가전문)
경영지도사(국가전문)
기술지도사(국가전문)
전자상거래관리사1,2급(국가기술)
전자상거래운용사(국가기술)
기술지도사(이상 한국산업인력공단)"
컴퓨터시스템 전문가,컴퓨터시스템설계 및 분석가,"조직 운영에 필요한 효율적인 정보시스템을 구축하기 위해 이용자의 요구사항과 사용 환경, 기술특성 등을 분석하고, 최신 정보통신기술을 이용하여 시스템을 설계하며, 시스템 구축 완료 후 사용되기까지의 모든 업무를 총괄한다.","DB2(외국)
전자계산기기능사, 기사, 기술사(국가기술)
전자계산조직응용기사, 기술사(국가기술)
정보관리기술사(국가기술)"
컴퓨터시스템 전문가,정보통신컨설턴트 및 감리원,"IT분야와 관련된 컨설팅을 전문으로 하는 직종으로 해당기업의 인적, 물적 자원 및 제반조건에 관련된 자료를 수집?분석하고, 최근의 기술적 활용 자원(하드웨어 및 소프트웨어)과 현재 상태의 정보시스템과의 관계를 고려하여 해당 기업의 경영환경에 가장 적절하게 부합될 수 있는 정보시스템의 구축을 제시하고 확인(감리)한다.","정보관리기술사(국가기술), 전자계산기조직응용기사, 기술사(국가기술), 국제공인정보시스템감사사(CISA)(국제공인자격)"
응용 소프트웨어 개발자,응용소프트웨어개발자,각종 응용분야의 컴퓨터 소프트웨어를 설계하고 개발한다.,"MCSD(외국)
MCSE(외국)
SCJP(외국)
리눅스마스터(국가공인 민간)
전자계산기조직응용기사, 기술사(국가기술)
전자계산조직응용기사, 기술사(국가기술)
정보처리기능사, 산업기사, 기사(국가기술)"
응용 소프트웨어 개발자,모바일앱개발자,"모바일기기에서 사용되는 프로그램, 고객의 요구에 적합한 어플리케이션 등을 개발하고 유지·관리·보수한다.","정보처리기능사, 산업기사, 기사(국가기술)"
시스템 소프트웨어 개발자,시스템소프트웨어개발자,"컴퓨터시스템의 동작, 제어 및 관리와 관련된 시스템소프트웨어를 개발한다.","MCSD(외국)
MCSE(외국)
SCJP(외국)
전자계산조직응용기사, 기술사(국가기술)
정보처리기능사, 산업기사, 기사(국가기술)
전자계산기조직응용기사, 기술사(국가기술)
전자계산기기능사, 기사, 기술사(국가기술)"
광고·홍보 전문가,광고·홍보·마케팅전문가,"특정상품 및 서비스에 대한 마케팅, 광고, 홍보의 필요성을 분석하고그에 따른 적절한 방안을 계획하며 실행한다. 또한 고객을 위한광고물의 제작 및 광고행사를 기획·감독하고 조정 등을 한다.",컨벤션기획사(국가기술)
데이터 전문가,빅데이터분석가,사람들의 행동 패턴 또는 시장의 경제상황 등을 예측하며 데이터 속에 함축된 트렌드나 인사이트를 도출하고 이로부터 새로운 부가가치를 창출하기 위해 대량의 빅데이터를 관리하고 분석한다.,"빅데이터분석기사, 데이터분석전문가, 데이터분석준전문가"
데이터 전문가,데이터베이스개발자,"데이터베이스를 설계하고, 최적화를 위한 관리 업무를 수행한다.","MCDBA(외국)
OCP(외국)
OCP-DBA(외국)
SQL개발자, 전문가(국가공인 민간)
SQL전문가(국가공인 민간)
전자계산기조직응용기사, 기술사(국가기술)
정보처리기능사, 산업기사, 기사(국가기술)"
정보보안 전문가,정보보안전문가,"정보시스템과 정보자산을 보호하기 위해 보안정책을 수립하고, 시스템에 대한 접근 및 운영을 통제하며, 침입 발생시 신속히 탐지하여 즉각적으로 대응·복구한다.","CISA[국제공인정보시스템 감사사](외국)
CISSP[국제공인정보시스템 보안전문가](외국)
정보보안기사, 산업기사(국가기술)
정보보안기사?산업기사(국가기술)
정보보안기사∙산업기사(국가기술)"
웹 개발자,웹개발자,웹상에서 각종 자료들을 보여줄 수 있도록 웹 프로그래밍 언어를 이용하여 프로그램을 설계하고 작성한다.,"OCP(외국)
SCJP(외국)
정보처리기능사, 산업기사, 기사(국가기술)
전자계산기조직응용기사, 기술사(국가기술)"
웹 개발자,웹기획자,"웹서비스 내용에 대한 기획, 웹사이트 구축 및 관리를 위한 기술적 검토, 웹페이지 운영 및 서비스 활성화 마련, 사용자의 요구 반영 등의 업무를 수행한다.","OCP(외국)
SCJP(외국)
정보처리 산업기사, 기사(국가기술)"
네트워크 시스템 개발자,네트워크시스템개발자,사용자의 요구사항에 부합하는 네트워크시스템을 분석·설계·구축한다.,"전자계산기조직응용기사, 기술사(국가기술)
정보관리기술사(국가기술)
정보처리기능사, 산업기사, 기사(국가기술)"
정보시스템 운영자,정보시스템운영자,"정보 시스템을 안정적으로 관리·운영하고, 시스템의 성능을 최적의 상태로 유지하기 위한 제반 업무를 수행한다.","네트워크관리사(국가공인 민간)
리눅스마스터(국가공인 민간)
전자계산기조직응용기사, 기술사(국가기술)
정보처리기능사, 산업기사, 기사(국가기술)"
인사·교육·훈련 사무원,인사·교육·훈련사무원,사원의 채용·배치·전환·퇴직·급여·인사고과·담당섭외 업무를 기획·건의·집행하는 인사노무 사무를 수행한다.,ERP정보관리사[물류/생산/인사/회계](국가공인 민간)
기술 영업원,기술영업원,"산업용장비, 정보통신장비, 그 외의 부품이나 제품, 설비의 사용법이나 보수(A/S) 등 기술에 관한 전문적 지식을 활용하여 기계나 장비, 설비 등을 판매하고 고객에게 기술적인 지도를 수행한다.",유통관리사(국가전문)
기획·마케팅 사무원,광고·홍보·마케팅사무원,"기업 또는 단체의 제품이나 성과 등을 홍보하기 위해 각종 언론매체, 인쇄물, 영상물, 정보제공, 행사개최·참여 등의 홍보 관련 사업을 기획하고 집행한다.",
광고·홍보 전문가,광고·홍보·마케팅전문가,"특정상품 및 서비스에 대한 마케팅, 광고, 홍보의 필요성을 분석하고그에 따른 적절한 방안을 계획하며 실행한다. 또한 고객을 위한광고물의 제작 및 광고행사를 기획·감독하고 조정 등을 한다.",컨벤션기획사(국가기술)
