work_code,work_code_original
0,084
1,086
2,081
3,082
4,085
5,083
6,014
7,017
8,012
9,01C
10,019
11,013
12,01A
13,016
14,01B
15,011
16,015
17,018
18,039
19,031
20,032
21,036
22,038
23,037
24,034
25,035
26,033
27,132
28,135
29,134
30,133
31,131
32,06A
33,062
34,067
35,066
36,068
37,061
38,065
39,063
40,064
41,069
42,044
43,042
44,043
45,041
46,096
47,093
48,095
49,091
50,094
51,099
52,09A
53,098
54,092
55,097
56,123
57,124
58,122
59,125
60,121
61,126
62,103
63,107
64,102
65,104
66,105
67,101
68,106
69,112
70,111
71,114
72,11A
73,119
74,116
75,118
76,117
77,115
78,113
79,027
80,028
81,025
82,02B
83,024
84,021
85,029
86,026
87,02C
88,023
89,022
90,02A
91,076
92,07A
93,071
94,074
95,079
96,072
97,07B
98,073
99,075
100,077
101,078
102,058
103,052
104,055
105,056
106,059
107,057
108,051
109,054
110,053
