id_work_company,work_company
0,(주)주상기업
1,에이치에너지주식회사
2,삼성시스템에어컨
3,존슨콘트롤즈인터내셔널코리아(주)
4,주식회사 명민정건설
5,대부개발주식회사
6,용마용역(주)
7,주식회사 제이에이치건설
8,주식회사지원
9,에코글로벌(주)
10,주식회사 케이원건설
11,용주이앤씨(주)
12,유한회사태강기술
13,주식회사 옥계실리카
14,주식회사웅산
15,(주)신성레미콘
16,호제환경산업(주)
17,(주)창명물류
18,한솔기업
19,(주)동원레미콘
20,에이치알서브 주식회사
21,(주)상원엔텍
22,㈜홍세라믹스
23,㈜가오물류
24,㈜위펀
25,신우산업관리㈜
26,이젠코리아
27,대신택배삼성
28,㈜위드인잡
29,플레인오디티
30,주식회사에스알종합건설
31,우이산업(주)
32,동림건업(주)
33,해주산업(주)
34,(주)호반티비엠
35,(주)새미래건축
36,주식회사광주유로폼
37,(주)더원특수건설
38,주식회사세이프원
39,서경종합건설주식회사
40,태성건설 주식회사
41,강산개발(주)
42,삼양항만용역주식회사
43,(재)진주내동공원묘원
44,주식회사그린조경
45,주식회사 신원시스템
46,주식회사 태룡환경
47,농업회사법인주식회사에스엘조경
48,신일에스앤지(주)
49,(주)비앤와이이엔지
50,민우개발주식회사
51,(주)수업
52,제이제이산업 주식회사
53,서울농수산시장관리주식회사
54,(주)케이제이스톤
55,주식회사동민기업
56,(주)지승유지스
57,매직스크린
58,(주)에스원세이프티
59,다온유로폼
60,유한회사정민건설
61,주식회사 티케이 모바일
62,주식회사 승도종합건설
63,주식회사예성철강
64,(주)영선알미늄
65,주식회사 다온아이엔씨
66,호진건설산업 주식회사
67,모듈러
68,(주)정진산업개발
69,(주)창경씨엠씨
70,유한회사 상관철망
71,(주)코스모철강
72,주식회사 라인건설
73,오성철강주식회사
74,주식회사가온건설산업
75,㈜대성문
76,㈜현앤디자인
77,㈔경기도외투기업협의회
78,주식회사 케이에프씨코리아
79,한길취업정보
80,엔아이씨(NIC)지식산업센터
81,주식회사 한결건물관리
82,한나그린힐
83,남부건업(주)
84,주식회사케이에스메이트
85,주식회사에스앤지서비스
86,한국산업개발
87,화성시 정조효노인복지관
88,일진공영창호
89,(주)대성사
90,주식회사 해모아
91,(주)조은시스템
92,수정인테리어기술전문학원
93,용산경찰서
94,주식회사서호
95,주식회사 대성디엔씨
96,사회복지법인다하
97,(주)동민산업
98,인천광역시 중구 시설관리공단
99,미영아파트입주자대표회의
100,다현시스템창호
101,주식회사 포스텍서비스
102,(주)청풍산업
103,주식회사피엔에프우드
104,(주)삼오관리
105,석우석재
106,양양자원개발합자회사
107,(주)동서엔지니어링종합건축사사무소
108,(주)나우씨앤에스
109,마스건축(주)
110,(주)크리스탈샘물
111,(주)주원이에프아이
112,썬텍(주)
113,홍대인테리어디자인
114,(주)디케이건설
115,엘쓰리일렉트릭파워(주)
116,(주)대혜건축
117,주식회사청정기술환경
118,(주)에스앤아이코퍼레이션
119,(사)부산칸트리클럽
120,(주)제이에스산업개발
121,스튜디오써밋
122,(주)태왕이앤씨
123,(주)대한석면환경연구소
124,(주)원에프엔티
125,고려원예
126,(주)자라리테일코리아
127,주식회사 매일건설
128,(주)다온네트웍스
129,(주)스페이스컬쳐
130,주식회사 로탈
131,디엘건설(주)
132,코스람산업(주)
133,주식회사 대로
134,선일시스템
135,(주) 에이원금속
136,(주)대성이엔에스
137,(주)엘스
138,주식회사은혜기업
139,중앙특장
140,주식회사플렉시아
141,주식회사 제이텍
142,도시가스고객센터
143,대왕로엔지니어링
144,(주)그린레이져
145,(주)선우
146,주식회사 우성랙
147,주식회사대원산업
148,(주)이앤에스시스템
149,우신산업(주)
150,(주)성신알에스티
151,주식회사 백제중공업
152,(주)서현자동화
153,(주)동아철망
154,가로수천막공사
155,(주)극동
156,와이엠테크
157,미래비전
158,강산종합건설(주)
159,주식회사 에이치엠씨
160,대용건설주식회사
161,속초시수산업협동조합
162,"정운테크 주식회사(JUNGWOONTECH Co., Ltd.)"
163,(주)제일화성
164,주식회사 반도화성
165,주식회사트루메탈
166,주식회사 베스트코세스
167,(주)에스제이테크
168,(주)용현아이앤디
169,주식회사 대림에스엔피
170,(주)케이에스엠
171,주식회사 시즈넬
172,주식회사 코인
173,강구수산업협동조합
174,주식회사씨티네트웍스
175,(주)한남이노텍
176,세일메카텍(주)
177,주식회사 윤스틸
178,(주)대호축산
179,(주)정봉건설
180,(주) 자강에스앤씨
181,주식회사세명피씨
182,비지종합건설(주)
183,원앤원(주)
184,드림테크
185,건국대학교
186,(주)성민산업
187,주식회사 평산
188,에이아이에이프리미어파트너스 주식회사
189,토스금융프라자
190,한국승강기대학교 산학협력단
191,탑치과의원
192,인천김치절임류가공사업협동조합
193,(주)피플스카우트
194,조선대학교
195,베스트네트워크(주)
196,부산대학교
197,도봉문화원
198,주식회사파스텔
199,딥세일즈(주)
200,주식회사 브리츠테크놀로지
201,주식회사센트럴워터
202,베스트요양병원
203,(주)원영기공
204,사단법인대전광역시대덕구새마을회
205,(주)에이스디이씨
206,주식회사 서진에너지
207,유한회사 아이케이일렉트릭
208,동서요양병원
209,(주)라온
210,(주)테크웰
211,동원여객자동차(주)
212,파티마여성병원
213,주식회사 신흥냉열서비스
214,대동대학교
215,한국마사회
216,(주)쌍용개발
217,중앙법률사무소
218,주식회사쉐어앤서비스
219,(주)삼건산업
220,대한주택관리(주)
221,주식회사피에이티
222,(주)실버웨이복지법인
223,구성농협 재가노인복지센터
224,천하종합관리(주)
225,(주)한우리 종합관리
226,(주)금상
227,서일개발(주)
228,주식회사 넥스티엠
229,한국남동발전(주) 강릉발전본부
230,케이앤제이 주식회사
231,동우씨엠(주)
232,주식회사에이원
233,목포더좋은요양병원
234,㈜에이치알스탭
235,하나펀드서비스㈜
236,(재)여성기업종합지원센터
237,㈜이도
238,IBK신용정보(주)
239,우정사업본부
240,하나증권
241,㈜넥스젠파이낸스대부
242,소래신용협동조합
243,서울원예농업협동조합
244,(주)비전잡
245,퍼스트바리스타제과제빵학원
246,주식회사 미라클핀테크
247,수협은행
248,에스원화재특종손해사정
249,(주)유베이스
250,아이비케이연금보험
251,더아이알(주)
252,삼성생명보험(주)
253,디지비생명보험(주)
254,이케이맨파워㈜
255,미래에셋증권(주)
256,한국국제협력단
257,(주)윈피앤에스
258,해성손해사정㈜
259,㈜우송에이치알컨설팅
260,H&H 파이낸셜대부㈜
261,(주)프로써치코리아
262,(주)다스카손해사정화재해상
