,2018,2019,2020,2021,2022,2023
관리직(임원·부서장),"15,628","13,610","13,697","21,719","27,432","26,924"
경영·행정·사무직,"326,162","277,106","286,923","358,135","412,931","335,794"
금융·보험직,"5,735","5,353","4,639","5,388","7,252","6,754"
인문·사회과학 연구직,548,638,729,866,"1,296",1136
자연·생명과학 연구직,"1,960","1,673","1,750","2,074","2,676","2,205"
정보통신 연구개발직 및 공학기술직,"14,978","15,670","17,832","25,995","26,578","17,099"
건설·채굴 연구개발직 및 공학기술직,"42,182","37,282","36,642","53,079","62,544","46,126"
제조 연구개발직 및 공학기술직,"64,004","56,512","49,777","66,236","87,396","75,971"
교육직,"21,900","20,890","17,693","21,728","21,365","17,248"
법률직,"2,126","1,892","1,770","2,143","2,234","1,822"
사회복지·종교직,"67,312","78,271","78,963","104,827","106,248","103,673"
경찰·소방·교도직,188,183,55,40,48,92
보건·의료직,"63,720","67,807","55,069","73,573","83,141","73,729"
예술·디자인·방송직,"30,130","24,964","24,842","36,905","33,264","23,739"
스포츠·레크리에이션직,"5,470","4,952","3,813","5,342","8,009","7,290"
미용·예식 서비스직,"4,407","3,577","3,032","5,340","5,885","4,650"
여행·숙박·오락 서비스직,"9,208","8,589","3,106","5,687","8,488","8,302"
음식 서비스직,"104,411","99,409","78,299","118,130","161,305","148,709"
경호·경비직,"47,435","34,512","30,447","43,343","55,883","55,699"
돌봄 서비스직(간병·육아),"134,704","152,664","178,236","259,328","320,549","342,001"
청소 및 기타 개인서비스직,"299,371","272,117","255,118","265,937","297,282","283,041"
영업·판매직,"100,366","80,614","66,304","96,401","102,333","94,867"
운전·운송직,"128,522","104,333","88,727","138,796","167,322","146,411"
건설·채굴직,"86,342","79,733","72,796","90,125","99,629","103,364"
기계 설치·정비·생산직,"177,823","135,829","130,667","204,846","238,568","190,306"
금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),"110,125","93,398","81,914","132,891","159,850","133,199"
전기·전자 설치·정비·생산직,"86,939","68,134","64,575","105,743","125,611","99,669"
정보통신 설치·정비직,"9,772","7,566","6,560","9,584","12,448","9,700"
화학·환경 설치·정비·생산직,"65,786","49,317","49,732","75,641","85,197","63,266"
섬유·의복 생산직,"18,450","13,432","14,557","18,455","21,021","14,662"
식품 가공·생산직,"46,399","34,146","30,899","44,415","52,759","44,899"
인쇄·목재·공예 및 기타 설치·정비·생산직,"41,841","30,582","31,164","44,896","46,022","34,844"
제조 단순직,"239,458","194,389","208,909","331,142","401,218","317,904"
농림어업직,"63,428","59,582","55,872","60,289","73,499","68,574"
